id,region,depth,substrate_type,structural_complexity,water_temperature,salinity,light_availability,coral_cover,algal_cover,marine_protection_status,proximity_to_human_activity,species_Porites,species_Favia,species_Stylophora,species_Acropora,species_Goniastrea,species_Montipora,species_Pocillopora,species_Montastraea,species_Orbicella,species_Siderastrea,species_Fungia
2008,Coral Triangle,29.3,Sandy,0.61,29.2,34.8,Low,48.1,9.3,Unprotected,7.6,1,0,0,0,0,0,0,0,0,0,0
2009,Coral Triangle,5.1,Rubble,0.5,29.7,34.0,High,61.8,5.3,MPA,23.9,0,0,0,1,0,0,0,0,0,0,1
2010,Great Barrier Reef,3.6,Rocky,0.9,27.0,35.1,High,65.5,13.7,MPA,112.7,0,0,0,1,1,0,0,0,0,0,0
2011,Caribbean,8.1,Rubble,0.54,28.9,35.4,High,69.7,18.2,Unprotected,22.7,1,0,0,0,0,0,0,1,0,1,0
2012,Great Barrier Reef,33.9,Sandy,0.76,26.3,35.3,Low,63.1,17.0,MPA,33.8,1,0,0,0,1,0,0,0,0,0,0
2013,Great Barrier Reef,13.5,Coralline,0.67,25.1,34.9,Medium,54.4,7.6,MPA,88.2,1,0,0,0,0,0,0,0,0,0,0
2014,Coral Triangle,23.8,Rocky,0.87,30.0,34.1,Low,59.6,26.6,MPA,18.7,1,0,0,1,0,0,0,0,0,0,1
2015,Coral Triangle,10.7,Rocky,0.54,27.1,33.7,Medium,63.0,9.6,MPA,46.7,1,0,0,0,0,0,0,0,0,0,1
2016,Coral Triangle,31.8,Rubble,0.94,30.1,34.9,Low,56.4,26.8,Unprotected,18.8,0,0,0,0,0,0,1,0,0,0,0
2017,Great Barrier Reef,21.9,Coralline,0.89,28.4,34.3,Low,60.0,14.5,MPA,66.1,1,0,0,0,0,1,0,0,0,0,0
2018,Great Barrier Reef,9.6,Rocky,0.77,25.7,35.3,High,64.5,5.7,MPA,123.7,1,0,0,1,1,0,0,0,0,0,0
2019,Great Barrier Reef,29.7,Rocky,0.7,24.0,34.9,Low,58.2,16.1,MPA,127.0,1,0,0,0,1,0,0,0,0,0,0
2020,Great Barrier Reef,11.9,Coralline,0.82,25.4,34.1,Medium,62.7,12.6,Unprotected,28.6,1,0,0,1,1,0,0,0,0,0,0
2021,Great Barrier Reef,10.2,Sandy,0.67,27.1,35.0,Medium,72.2,13.3,MPA,106.9,1,0,0,0,0,0,0,0,0,0,0
2022,Great Barrier Reef,6.8,Sandy,0.83,25.3,34.0,High,66.9,13.5,MPA,108.9,0,0,0,1,1,0,0,0,0,0,0
2023,Caribbean,6.1,Silty,0.69,28.0,35.0,High,77.9,22.1,MPA,30.4,1,0,0,0,0,0,0,0,1,1,0
2024,Coral Triangle,3.0,Rocky,0.87,29.9,33.7,High,70.5,11.8,Unprotected,9.6,0,0,0,1,0,0,1,0,0,0,1
2025,Caribbean,8.9,Coralline,0.67,25.2,35.2,High,70.0,25.9,Unprotected,27.1,0,0,0,0,0,0,0,0,1,0,0
2026,Caribbean,5.0,Silty,0.69,28.3,35.3,High,66.1,13.8,Unprotected,23.3,0,0,0,0,0,0,0,1,1,1,0
2027,Coral Triangle,15.0,Rocky,0.88,27.6,33.8,Medium,63.4,8.5,Unprotected,23.7,1,0,0,0,0,0,0,0,0,0,1
2028,Great Barrier Reef,21.7,Coralline,0.83,25.3,34.9,Low,60.3,6.1,MPA,146.6,1,0,0,0,1,0,0,0,0,0,0
2029,Coral Triangle,14.7,Rocky,0.5,29.7,33.5,Medium,59.6,9.7,MPA,38.4,1,0,0,0,0,0,1,0,0,0,0
2030,Red Sea,8.6,Rubble,0.58,26.4,40.1,High,59.4,10.9,Unprotected,16.5,0,1,0,1,0,0,0,0,0,0,0
2031,Caribbean,6.8,Rubble,0.67,28.0,34.6,High,63.0,26.0,Unprotected,21.2,1,0,0,0,0,0,0,1,1,0,0
2032,Caribbean,12.5,Rubble,0.41,26.2,35.6,Medium,64.6,6.4,MPA,28.0,0,0,0,0,0,0,0,1,0,0,0
2033,Great Barrier Reef,17.8,Rocky,0.82,24.9,34.9,Medium,60.1,19.9,Unprotected,92.8,1,0,0,1,0,1,0,0,0,0,0
2034,Coral Triangle,7.9,Rubble,0.81,30.5,34.2,High,68.8,13.2,Unprotected,2.4,0,0,0,0,0,0,1,0,0,0,0
2035,Red Sea,16.7,Rubble,0.64,29.4,40.0,Medium,63.4,29.9,MPA,59.2,1,0,0,0,0,0,0,0,0,0,0
2036,Red Sea,11.8,Rubble,0.63,27.4,40.9,Medium,54.7,22.0,Unprotected,25.6,1,0,1,0,0,0,0,0,0,0,0
2037,Coral Triangle,23.2,Rubble,0.85,28.6,35.0,Low,57.8,20.9,Unprotected,29.2,0,0,0,0,0,0,0,0,0,0,1
2038,Red Sea,28.1,Rocky,0.71,27.0,39.4,Low,56.9,23.3,Unprotected,36.5,1,0,0,0,0,0,0,0,0,0,0
2039,Red Sea,25.0,Rubble,0.6,27.9,40.8,Low,44.3,23.0,Unprotected,37.6,1,0,1,0,0,0,0,0,0,0,0
2040,Red Sea,11.8,Rocky,0.76,27.3,39.7,Medium,47.2,7.0,Unprotected,44.3,1,1,1,0,0,0,0,0,0,0,0
2041,Caribbean,22.5,Rubble,0.71,26.7,35.1,Low,56.5,10.8,Unprotected,24.6,1,0,0,0,0,0,0,0,0,0,0
2042,Great Barrier Reef,9.4,Rocky,0.7,27.2,34.7,High,69.0,21.4,MPA,38.5,1,0,0,1,0,0,0,0,0,0,0
2043,Red Sea,26.1,Rocky,0.62,27.2,39.3,Low,54.5,8.9,MPA,25.7,1,0,1,0,0,0,0,0,0,0,0
2044,Great Barrier Reef,32.0,Coralline,0.67,27.6,35.0,Low,57.5,22.3,MPA,145.2,0,0,0,1,0,1,0,0,0,0,0
2045,Caribbean,13.3,Rubble,0.71,28.7,35.9,Medium,66.4,22.4,Unprotected,26.9,1,0,0,0,0,0,0,1,0,0,0
2046,Caribbean,24.4,Silty,0.63,28.9,35.4,Low,65.2,26.4,MPA,43.1,1,0,0,0,0,0,0,1,0,1,0
2047,Coral Triangle,8.2,Sandy,0.59,29.8,34.6,High,50.8,27.5,Unprotected,21.2,0,0,0,1,0,0,0,0,0,0,1
2048,Great Barrier Reef,30.2,Coralline,0.7,25.4,35.0,Low,51.6,7.9,Unprotected,61.2,1,0,0,1,0,0,0,0,0,0,0
2049,Great Barrier Reef,29.6,Sandy,0.79,26.2,35.0,Low,59.0,27.6,MPA,83.4,0,0,0,0,1,1,0,0,0,0,0
2050,Great Barrier Reef,31.6,Rocky,0.88,26.1,34.8,Low,60.2,8.5,MPA,129.4,1,0,0,0,0,1,0,0,0,0,0
2051,Great Barrier Reef,10.0,Rocky,0.88,25.7,35.3,Medium,65.0,22.1,MPA,108.6,1,0,0,0,1,1,0,0,0,0,0
2052,Caribbean,12.5,Rubble,0.79,26.4,35.7,Medium,60.9,9.9,Unprotected,1.4,1,0,0,0,0,0,0,0,1,0,0
2053,Caribbean,19.9,Rubble,0.64,28.8,35.3,Medium,52.5,15.4,Unprotected,1.9,1,0,0,0,0,0,0,0,0,1,0
2054,Coral Triangle,24.7,Rocky,0.84,30.0,34.2,Low,54.2,7.3,Unprotected,13.6,1,0,0,1,0,0,0,0,0,0,0
2055,Coral Triangle,35.2,Sandy,0.82,28.3,33.6,Low,58.2,21.7,Unprotected,8.5,1,0,0,0,0,0,0,0,0,0,0
2056,Coral Triangle,37.9,Sandy,0.91,27.0,34.3,Low,61.9,27.8,Unprotected,31.1,1,0,0,0,0,0,0,0,0,0,1
2057,Red Sea,8.1,Rocky,0.88,27.7,40.1,High,70.8,9.2,Unprotected,43.9,0,0,1,1,0,0,0,0,0,0,0
2058,Coral Triangle,6.4,Sandy,0.88,30.6,34.6,High,68.8,5.7,Unprotected,23.6,0,0,0,1,0,0,1,0,0,0,1
2059,Red Sea,24.5,Rocky,0.63,28.2,39.5,Low,60.4,22.2,MPA,40.6,1,0,0,0,0,0,0,0,0,0,0
2060,Coral Triangle,7.5,Sandy,0.79,28.6,33.7,High,63.6,9.1,Unprotected,7.9,0,0,0,1,0,0,0,0,0,0,0
2061,Red Sea,12.0,Rocky,0.74,26.1,40.7,Medium,69.6,23.0,MPA,46.0,1,0,1,0,0,0,0,0,0,0,0
2062,Coral Triangle,31.0,Sandy,0.61,30.2,33.7,Low,49.3,18.9,Unprotected,3.2,1,0,0,0,0,0,0,0,0,0,0
2063,Great Barrier Reef,14.8,Coralline,0.85,24.8,35.4,Medium,64.9,15.0,MPA,88.4,0,0,0,1,0,1,0,0,0,0,0
2064,Coral Triangle,6.5,Rocky,0.67,28.1,34.5,High,64.8,11.0,Unprotected,28.5,1,0,0,1,0,0,0,0,0,0,1
2065,Coral Triangle,5.1,Sandy,0.81,27.5,34.0,High,72.7,8.6,Unprotected,39.4,0,0,0,1,0,0,1,0,0,0,1
2066,Coral Triangle,13.2,Rocky,0.7,27.8,33.9,Medium,62.8,17.6,Unprotected,35.9,1,0,0,0,0,0,1,0,0,0,0
2067,Red Sea,6.2,Sandy,0.71,28.8,40.9,High,65.2,23.9,MPA,11.3,0,0,1,1,0,0,0,0,0,0,0
2068,Coral Triangle,7.6,Rubble,0.64,29.8,33.9,High,53.3,8.5,Unprotected,29.2,0,0,0,1,0,0,0,0,0,0,1
2069,Red Sea,6.5,Rubble,0.53,28.8,39.9,High,63.6,9.3,Unprotected,49.9,0,0,0,1,0,0,0,0,0,0,0
2070,Caribbean,15.3,Coralline,0.76,27.0,35.2,Medium,61.6,24.2,Unprotected,11.0,1,0,0,0,0,0,0,1,1,0,0
2071,Caribbean,11.7,Rubble,0.7,27.2,35.5,Medium,58.0,24.9,Unprotected,3.7,0,0,0,0,0,0,0,1,1,0,0
2072,Great Barrier Reef,10.3,Sandy,0.81,26.7,34.3,Medium,74.0,20.2,MPA,138.7,1,0,0,1,1,0,0,0,0,0,0
2073,Red Sea,19.0,Rubble,0.75,26.3,41.0,Medium,67.8,5.9,Unprotected,10.8,1,0,1,0,0,0,0,0,0,0,0
2074,Great Barrier Reef,23.5,Rocky,0.91,27.4,35.0,Low,66.4,19.2,Unprotected,57.7,1,0,0,1,0,0,0,0,0,0,0
2075,Caribbean,22.4,Rubble,0.57,25.2,34.6,Low,68.6,27.6,Unprotected,12.1,1,0,0,0,0,0,0,0,0,1,0
2076,Red Sea,19.7,Rocky,0.64,26.3,40.9,Medium,56.7,29.0,Unprotected,35.9,1,0,1,0,0,0,0,0,0,0,0
2077,Great Barrier Reef,6.4,Sandy,0.64,25.1,34.3,High,74.6,25.4,MPA,54.1,0,0,0,1,1,0,0,0,0,0,0
2078,Caribbean,18.8,Coralline,0.64,28.5,35.8,Medium,58.5,21.2,Unprotected,5.3,1,0,0,0,0,0,0,0,1,0,0
2079,Red Sea,25.6,Rocky,0.61,28.1,39.6,Low,60.5,18.8,MPA,41.4,1,0,1,0,0,0,0,0,0,0,0
2080,Coral Triangle,23.7,Rubble,0.76,29.6,33.8,Low,50.7,8.8,Unprotected,28.3,1,0,0,0,0,0,0,0,0,0,0
2081,Great Barrier Reef,33.4,Rocky,0.93,27.4,34.9,Low,61.3,29.8,MPA,110.8,1,0,0,1,0,1,0,0,0,0,0
2082,Red Sea,28.3,Rocky,0.55,29.1,40.0,Low,49.9,12.4,Unprotected,36.2,0,1,0,0,0,0,0,0,0,0,0
2083,Red Sea,13.0,Sandy,0.83,28.5,40.6,Medium,60.8,5.7,Unprotected,31.5,0,1,1,0,0,0,0,0,0,0,0
2084,Coral Triangle,15.3,Sandy,0.94,30.5,34.8,Medium,69.8,27.9,MPA,30.2,1,0,0,0,0,0,1,0,0,0,1
2085,Red Sea,27.3,Rocky,0.76,26.8,39.1,Low,55.1,21.3,Unprotected,38.0,0,0,1,1,0,0,0,0,0,0,0
2086,Great Barrier Reef,24.2,Coralline,0.76,24.1,34.0,Low,63.6,9.3,MPA,27.2,0,0,0,0,1,1,0,0,0,0,0
2087,Coral Triangle,38.2,Sandy,0.53,27.5,35.0,Low,63.3,14.7,Unprotected,22.6,1,0,0,0,0,0,0,0,0,0,0
2088,Red Sea,25.5,Rubble,0.88,28.4,39.1,Low,54.4,17.7,Unprotected,26.6,1,1,0,0,0,0,0,0,0,0,0
2089,Great Barrier Reef,34.8,Sandy,0.63,26.3,35.2,Low,58.0,18.6,MPA,56.1,1,0,0,0,0,0,0,0,0,0,0
2090,Great Barrier Reef,27.5,Sandy,0.8,24.3,34.1,Low,48.6,12.9,Unprotected,53.1,1,0,0,0,0,1,0,0,0,0,0
2091,Coral Triangle,4.6,Rubble,0.85,29.7,34.6,High,64.0,12.5,Unprotected,15.3,1,0,0,1,0,0,0,0,0,0,0
2092,Coral Triangle,3.4,Sandy,0.9,27.2,34.2,High,73.3,10.2,Unprotected,20.8,0,0,0,1,0,0,1,0,0,0,1
2093,Caribbean,4.3,Silty,0.48,27.5,35.4,High,58.6,14.3,Unprotected,16.8,0,0,0,0,0,0,0,0,1,1,0
2094,Great Barrier Reef,17.5,Coralline,0.84,26.7,34.9,Medium,65.3,18.2,Unprotected,83.8,1,0,0,0,1,0,0,0,0,0,0
2095,Great Barrier Reef,6.9,Coralline,0.85,25.3,34.4,High,71.0,5.2,MPA,70.8,1,0,0,1,0,0,0,0,0,0,0
2096,Caribbean,17.2,Coralline,0.57,26.3,35.4,Medium,58.5,11.9,Unprotected,3.7,1,0,0,0,0,0,0,0,1,0,0
2097,Coral Triangle,22.3,Sandy,0.66,30.4,35.0,Low,59.7,28.6,MPA,50.6,1,0,0,1,0,0,0,0,0,0,0
2098,Great Barrier Reef,8.8,Rocky,0.79,28.2,34.5,High,66.4,5.3,MPA,137.7,0,0,0,1,1,1,0,0,0,0,0
2099,Great Barrier Reef,7.3,Coralline,0.63,24.8,35.5,High,57.2,24.3,Unprotected,17.6,0,0,0,1,0,1,0,0,0,0,0
2100,Great Barrier Reef,9.2,Sandy,0.62,24.2,35.0,High,64.8,9.1,Unprotected,41.6,0,0,0,1,1,1,0,0,0,0,0
2101,Coral Triangle,31.8,Sandy,0.65,30.7,34.4,Low,56.0,11.7,Unprotected,20.5,0,0,0,0,0,0,1,0,0,0,1
2102,Great Barrier Reef,30.1,Coralline,0.84,25.4,34.9,Low,58.3,29.0,Unprotected,97.5,1,0,0,1,0,0,0,0,0,0,0
2103,Red Sea,16.5,Rubble,0.89,27.1,40.5,Medium,62.8,6.5,Unprotected,23.7,1,0,0,0,0,0,0,0,0,0,0
2104,Great Barrier Reef,21.5,Coralline,0.78,28.2,35.4,Low,61.5,6.7,MPA,38.0,0,0,0,0,1,1,0,0,0,0,0
2105,Red Sea,23.4,Rubble,0.65,27.1,39.4,Low,47.9,26.3,MPA,39.1,0,1,1,0,0,0,0,0,0,0,0
2106,Red Sea,10.7,Rubble,0.75,26.1,41.0,Medium,68.6,24.9,MPA,61.5,1,1,0,1,0,0,0,0,0,0,0
2107,Great Barrier Reef,9.2,Coralline,0.76,28.3,35.4,High,71.1,16.3,MPA,52.1,1,0,0,0,0,1,0,0,0,0,0
2108,Great Barrier Reef,31.2,Rocky,0.64,25.9,34.9,Low,58.0,5.8,MPA,73.7,1,0,0,1,0,1,0,0,0,0,0
2109,Coral Triangle,15.6,Rocky,0.53,29.8,34.2,Medium,56.6,13.1,Unprotected,31.2,0,0,0,0,0,0,1,0,0,0,1
2110,Caribbean,24.6,Rubble,0.47,25.8,34.9,Low,55.2,18.2,Unprotected,22.2,0,0,0,0,0,0,0,1,1,0,0
2111,Red Sea,22.1,Sandy,0.58,27.0,39.6,Low,55.6,15.4,MPA,77.7,1,1,1,0,0,0,0,0,0,0,0
2112,Great Barrier Reef,29.1,Sandy,0.64,28.1,34.4,Low,68.0,29.5,MPA,27.2,1,0,0,0,0,0,0,0,0,0,0
2113,Great Barrier Reef,2.9,Sandy,0.64,26.5,34.3,High,74.0,22.4,MPA,71.1,0,0,0,1,1,0,0,0,0,0,0
2114,Caribbean,14.1,Rubble,0.57,26.5,35.9,Medium,57.6,29.3,MPA,39.2,1,0,0,0,0,0,0,1,0,1,0
2115,Coral Triangle,14.7,Rocky,0.93,28.0,34.7,Medium,56.9,5.6,Unprotected,18.2,0,0,0,0,0,0,0,0,0,0,1
2116,Great Barrier Reef,24.1,Coralline,0.81,26.4,34.0,Low,58.0,14.6,MPA,75.5,0,0,0,1,1,0,0,0,0,0,0
2117,Red Sea,22.8,Rocky,0.72,28.0,39.2,Low,62.9,7.5,Unprotected,18.3,0,0,1,1,0,0,0,0,0,0,0
2118,Great Barrier Reef,11.4,Coralline,0.68,27.1,34.7,Medium,61.6,23.7,MPA,83.3,0,0,0,1,1,1,0,0,0,0,0
2119,Great Barrier Reef,29.9,Sandy,0.93,24.6,34.7,Low,64.4,16.1,MPA,141.4,1,0,0,0,1,1,0,0,0,0,0
2120,Red Sea,27.5,Sandy,0.88,26.8,40.2,Low,74.1,15.3,MPA,34.8,1,1,1,0,0,0,0,0,0,0,0
2121,Coral Triangle,25.2,Rocky,0.71,28.9,34.7,Low,56.9,18.6,MPA,36.9,1,0,0,1,0,0,0,0,0,0,0
2122,Coral Triangle,20.6,Rubble,0.54,28.1,33.5,Low,61.0,10.1,MPA,47.9,1,0,0,0,0,0,0,0,0,0,0
2123,Caribbean,13.3,Coralline,0.71,26.3,35.8,Medium,63.5,23.0,Unprotected,24.9,1,0,0,0,0,0,0,0,0,1,0
2124,Coral Triangle,26.5,Rocky,0.86,29.8,33.8,Low,61.5,12.9,Unprotected,12.6,0,0,0,0,0,0,0,0,0,0,1
2125,Great Barrier Reef,23.3,Sandy,0.87,26.2,34.9,Low,60.2,8.1,MPA,86.1,1,0,0,0,0,0,0,0,0,0,0
2126,Caribbean,17.0,Coralline,0.76,27.2,35.7,Medium,62.9,22.9,Unprotected,11.0,1,0,0,0,0,0,0,0,0,0,0
2127,Coral Triangle,26.0,Rubble,0.87,27.5,34.9,Low,56.8,12.7,Unprotected,10.3,1,0,0,0,0,0,0,0,0,0,1
2128,Red Sea,15.7,Sandy,0.6,27.7,40.4,Medium,57.8,11.1,Unprotected,8.8,1,0,1,0,0,0,0,0,0,0,0
2129,Red Sea,20.6,Rocky,0.66,26.5,39.8,Low,50.6,19.0,Unprotected,46.1,1,1,0,0,0,0,0,0,0,0,0
2130,Caribbean,8.1,Rubble,0.43,25.2,34.8,High,66.4,13.8,Unprotected,25.9,0,0,0,0,0,0,0,1,0,1,0
2131,Coral Triangle,25.5,Rubble,0.51,30.1,33.8,Low,48.1,7.4,Unprotected,25.9,1,0,0,0,0,0,1,0,0,0,0
2132,Great Barrier Reef,12.1,Sandy,0.66,27.4,35.4,Medium,67.4,22.1,MPA,59.0,0,0,0,0,1,1,0,0,0,0,0
2133,Caribbean,3.9,Coralline,0.7,25.0,34.5,High,68.4,18.0,Unprotected,3.6,1,0,0,0,0,0,0,1,0,1,0
2134,Great Barrier Reef,4.2,Coralline,0.63,27.6,34.6,High,60.1,21.1,MPA,140.8,0,0,0,1,0,0,0,0,0,0,0
2135,Red Sea,24.3,Rubble,0.71,28.0,40.7,Low,63.4,7.5,MPA,14.9,1,0,0,0,0,0,0,0,0,0,0
2136,Great Barrier Reef,28.5,Sandy,0.66,25.0,34.5,Low,53.8,22.5,MPA,90.4,1,0,0,1,1,0,0,0,0,0,0
2137,Great Barrier Reef,33.8,Coralline,0.8,26.9,34.6,Low,58.1,9.5,Unprotected,69.6,0,0,0,0,0,1,0,0,0,0,0
2138,Caribbean,7.3,Coralline,0.67,26.9,35.2,High,70.6,18.7,Unprotected,10.5,0,0,0,0,0,0,0,1,0,0,0
2139,Great Barrier Reef,8.3,Coralline,0.88,27.9,34.2,High,71.2,13.7,MPA,148.7,0,0,0,1,1,0,0,0,0,0,0
2140,Great Barrier Reef,19.3,Sandy,0.63,25.9,34.7,Medium,60.1,22.8,MPA,57.3,1,0,0,1,1,0,0,0,0,0,0
2141,Red Sea,6.2,Sandy,0.56,29.7,40.2,High,56.1,26.4,Unprotected,4.6,0,1,1,1,0,0,0,0,0,0,0
2142,Caribbean,8.2,Silty,0.61,25.4,35.4,High,69.1,28.8,Unprotected,12.6,1,0,0,0,0,0,0,0,1,0,0
2143,Red Sea,18.8,Sandy,0.71,27.2,39.8,Medium,65.9,7.6,Unprotected,43.8,1,0,1,0,0,0,0,0,0,0,0
2144,Great Barrier Reef,23.7,Coralline,0.89,26.1,35.1,Low,60.1,25.5,MPA,115.3,1,0,0,0,0,1,0,0,0,0,0
2145,Red Sea,21.5,Sandy,0.69,27.5,39.4,Low,56.3,13.7,MPA,45.1,1,1,0,0,0,0,0,0,0,0,0
2146,Caribbean,17.8,Rubble,0.71,27.4,34.8,Medium,58.6,27.8,Unprotected,11.6,1,0,0,0,0,0,0,1,0,0,0
2147,Red Sea,6.3,Rubble,0.53,27.1,39.4,High,59.2,7.4,MPA,12.9,0,1,1,1,0,0,0,0,0,0,0
2148,Caribbean,15.0,Rubble,0.4,28.3,35.2,Medium,60.7,5.1,MPA,13.5,1,0,0,0,0,0,0,1,0,0,0
2149,Red Sea,7.0,Rocky,0.61,29.8,39.2,High,72.6,13.8,MPA,38.9,0,0,1,1,0,0,0,0,0,0,0
2150,Great Barrier Reef,31.3,Sandy,0.86,24.7,34.2,Low,65.0,23.6,MPA,118.9,1,0,0,1,0,1,0,0,0,0,0
2151,Great Barrier Reef,9.9,Rocky,0.61,25.5,34.1,High,72.2,6.1,MPA,137.6,0,0,0,1,0,1,0,0,0,0,0
2152,Great Barrier Reef,30.3,Rocky,0.85,27.4,35.4,Low,64.5,5.6,MPA,58.3,1,0,0,0,1,0,0,0,0,0,0
2153,Coral Triangle,7.0,Sandy,0.8,27.4,33.8,High,69.1,7.7,Unprotected,18.9,0,0,0,0,0,0,1,0,0,0,0
2154,Caribbean,9.4,Rubble,0.54,28.3,35.6,High,58.8,21.0,Unprotected,27.6,0,0,0,0,0,0,0,0,1,1,0
2155,Great Barrier Reef,12.7,Coralline,0.78,26.4,35.3,Medium,61.7,6.2,MPA,92.4,1,0,0,0,1,1,0,0,0,0,0
2156,Red Sea,5.1,Sandy,0.7,27.5,39.4,High,59.7,16.4,Unprotected,23.9,0,1,1,1,0,0,0,0,0,0,0
2157,Caribbean,5.3,Silty,0.62,27.4,34.5,High,64.2,6.7,Unprotected,10.2,0,0,0,0,0,0,0,1,0,1,0
2158,Great Barrier Reef,23.6,Rocky,0.95,28.3,34.1,Low,64.5,7.4,MPA,71.5,1,0,0,1,0,0,0,0,0,0,0
2159,Red Sea,19.1,Rocky,0.76,26.8,39.8,Medium,60.8,19.2,Unprotected,39.2,1,1,0,0,0,0,0,0,0,0,0
2160,Coral Triangle,6.5,Rocky,0.69,27.7,34.0,High,62.7,10.9,Unprotected,16.4,0,0,0,1,0,0,1,0,0,0,0
2161,Coral Triangle,34.1,Rubble,0.59,28.4,34.8,Low,53.1,17.3,Unprotected,34.8,1,0,0,0,0,0,0,0,0,0,1
2162,Great Barrier Reef,19.4,Coralline,0.72,26.1,34.1,Medium,58.7,20.9,Unprotected,64.3,1,0,0,1,0,0,0,0,0,0,0
2163,Red Sea,27.9,Sandy,0.66,26.7,39.8,Low,49.1,14.9,Unprotected,15.4,1,0,1,0,0,0,0,0,0,0,0
2164,Great Barrier Reef,22.2,Coralline,0.86,26.5,34.4,Low,62.8,7.9,MPA,83.3,1,0,0,0,0,1,0,0,0,0,0
2165,Great Barrier Reef,20.1,Rocky,0.88,28.4,34.8,Low,55.1,15.4,Unprotected,16.7,1,0,0,0,1,0,0,0,0,0,0
2166,Great Barrier Reef,22.4,Sandy,0.66,25.3,35.2,Low,68.7,13.1,MPA,146.5,1,0,0,1,0,1,0,0,0,0,0
2167,Red Sea,19.5,Sandy,0.61,28.2,39.7,Medium,66.3,12.3,MPA,77.7,0,1,1,0,0,0,0,0,0,0,0
2168,Caribbean,19.9,Rubble,0.68,27.9,34.8,Medium,57.6,25.4,Unprotected,28.7,1,0,0,0,0,0,0,0,0,0,0
2169,Caribbean,22.0,Coralline,0.44,25.5,35.5,Low,54.2,6.4,Unprotected,23.2,0,0,0,0,0,0,0,1,0,0,0
2170,Great Barrier Reef,19.8,Sandy,0.68,26.9,34.7,Medium,62.6,12.9,MPA,128.9,1,0,0,0,1,0,0,0,0,0,0
2171,Coral Triangle,30.5,Sandy,0.5,30.3,34.5,Low,56.1,12.8,MPA,67.3,0,0,0,0,0,0,1,0,0,0,0
2172,Red Sea,28.2,Rocky,0.85,27.3,39.9,Low,52.9,29.1,Unprotected,13.2,1,1,0,0,0,0,0,0,0,0,0
2173,Red Sea,29.4,Sandy,0.6,28.7,40.3,Low,57.0,11.2,Unprotected,5.6,1,0,0,0,0,0,0,0,0,0,0
2174,Red Sea,15.2,Rubble,0.69,28.2,39.8,Medium,60.8,24.8,MPA,25.8,1,1,0,1,0,0,0,0,0,0,0
2175,Coral Triangle,3.3,Rubble,0.73,29.7,35.0,High,57.8,29.2,Unprotected,19.9,1,0,0,0,0,0,1,0,0,0,0
2176,Caribbean,10.3,Rubble,0.58,25.3,34.6,Medium,54.2,24.0,Unprotected,13.1,1,0,0,0,0,0,0,1,0,0,0
2177,Caribbean,9.3,Silty,0.47,25.2,35.0,High,71.6,28.4,Unprotected,21.3,0,0,0,0,0,0,0,0,1,1,0
2178,Coral Triangle,25.7,Sandy,0.54,28.2,33.9,Low,53.3,11.7,Unprotected,15.5,1,0,0,0,0,0,0,0,0,0,0
2179,Caribbean,23.2,Silty,0.71,25.7,34.7,Low,59.8,23.9,Unprotected,4.6,0,0,0,0,0,0,0,1,1,0,0
2180,Coral Triangle,24.9,Rubble,0.72,28.2,33.8,Low,55.3,18.6,Unprotected,14.3,1,0,0,1,0,0,0,0,0,0,0
2181,Red Sea,24.8,Sandy,0.7,28.8,40.2,Low,64.5,18.0,MPA,41.6,1,1,0,0,0,0,0,0,0,0,0
2182,Caribbean,22.3,Rubble,0.42,26.3,35.1,Low,53.7,14.3,Unprotected,24.0,0,0,0,0,0,0,0,0,1,0,0
2183,Red Sea,17.3,Rubble,0.62,26.2,40.1,Medium,56.3,8.0,Unprotected,22.5,1,0,1,0,0,0,0,0,0,0,0
2184,Great Barrier Reef,13.5,Coralline,0.84,28.2,35.1,Medium,63.9,12.2,MPA,94.6,0,0,0,0,1,1,0,0,0,0,0
2185,Coral Triangle,31.4,Rocky,0.71,27.3,34.3,Low,56.2,18.4,Unprotected,10.6,0,0,0,0,0,0,1,0,0,0,0
2186,Caribbean,19.5,Silty,0.69,25.3,35.8,Medium,59.0,28.3,MPA,33.2,1,0,0,0,0,0,0,0,1,1,0
2187,Red Sea,28.8,Rubble,0.63,26.4,40.2,Low,60.9,11.9,MPA,46.6,1,0,1,0,0,0,0,0,0,0,0
2188,Caribbean,8.4,Silty,0.78,28.9,34.6,High,71.1,16.5,Unprotected,9.8,0,0,0,0,0,0,0,1,1,0,0
2189,Red Sea,5.1,Rocky,0.51,27.8,40.6,High,61.0,20.7,Unprotected,22.2,0,1,0,1,0,0,0,0,0,0,0
2190,Great Barrier Reef,29.3,Coralline,0.65,26.8,34.4,Low,60.0,18.6,MPA,28.8,1,0,0,0,1,1,0,0,0,0,0
2191,Great Barrier Reef,12.2,Rocky,0.8,24.6,34.9,Medium,57.3,9.1,Unprotected,41.4,1,0,0,0,0,1,0,0,0,0,0
2192,Red Sea,18.5,Rocky,0.69,29.2,40.7,Medium,58.3,15.3,Unprotected,22.9,0,1,1,1,0,0,0,0,0,0,0
2193,Red Sea,22.4,Rubble,0.89,29.8,40.4,Low,57.1,8.0,Unprotected,24.6,1,1,0,1,0,0,0,0,0,0,0
2194,Great Barrier Reef,19.8,Coralline,0.72,28.1,35.5,Medium,65.7,19.5,MPA,55.5,1,0,0,1,0,0,0,0,0,0,0
